ts	Sample#	A	B	dx	F
254454529.00000	123.00000	-42.54613	-28.28965	15.35720	1.16297
254454548.00000	124.00000	-42.45681	-28.16312	15.36542	1.14465
254454567.00000	125.00000	-42.39230	-28.05395	15.35994	1.07597
254454586.00000	126.00000	-42.31291	-28.02666	15.37029	1.07750
254454604.00000	127.00000	-42.21863	-27.94726	15.38948	1.03934
254454623.00000	128.00000	-42.09705	-27.86538	15.40074	1.03934
254454653.00000	129.00000	-42.01517	-27.76118	15.66140	1.07597
254454681.00000	130.00000	-41.90849	-27.64208	15.65836	1.08666
254454700.00000	131.00000	-41.80428	-27.57013	15.67114	1.09276
254454720.00000	132.00000	-41.70752	-27.44856	15.67175	1.08971
254454738.00000	133.00000	-41.68519	-27.43863	15.68393	1.06071
254454756.00000	134.00000	-41.53880	-27.32698	15.68211	1.06071
254454775.00000	135.00000	-41.42467	-27.17812	15.70708	1.04240
254454803.00000	136.00000	-41.22618	-27.04414	15.44337	1.03934
254454831.00000	137.00000	-41.08228	-26.88783	15.45677	1.03934
254454850.00000	138.00000	-40.98303	-26.77866	15.47687	1.04087
254454870.00000	139.00000	-40.89123	-26.67197	15.49118	1.02103
254454888.00000	140.00000	-40.82424	-26.65708	15.49209	1.02103
254454906.00000	141.00000	-40.70018	-26.51318	15.50306	1.01187
254454925.00000	142.00000	-40.62575	-26.40401	15.49849	1.00882
254454955.00000	143.00000	-40.44215	-26.26755	15.78442	1.02408
254454985.00000	144.00000	-40.24614	-26.13853	15.52163	1.03019
254455003.00000	145.00000	-40.16178	-26.00455	15.55086	1.03324
254455021.00000	146.00000	-40.06750	-25.93260	15.81274	1.03782
254455039.00000	147.00000	-39.95337	-25.86561	15.81122	1.03782
254455057.00000	148.00000	-39.89878	-25.74403	15.82340	1.03782
254455075.00000	149.00000	-39.78713	-25.69193	15.82462	0.98593
254455103.00000	150.00000	-39.60105	-25.49592	15.57949	0.94319
254455131.00000	151.00000	-39.40752	-25.31480	15.57614	0.94167
254455160.00000	152.00000	-39.18670	-25.19074	15.87334	0.94624
254455179.00000	153.00000	-39.09242	-25.15601	15.87943	0.94014
254455198.00000	154.00000	-39.00062	-25.02699	15.88065	0.92488
254455218.00000	155.00000	-38.84679	-24.86820	15.89100	0.92488
254455237.00000	156.00000	-38.69544	-24.72181	15.90257	0.90962
254455254.00000	157.00000	-38.51929	-24.61264	15.91170	0.90809
254455271.00000	158.00000	-38.33072	-24.45633	15.64283	0.89588
254455298.00000	159.00000	-38.13967	-24.31739	15.93302	0.87757
254455326.00000	160.00000	-37.99577	-24.17349	15.66475	0.87451
254455353.00000	161.00000	-37.86427	-24.05439	15.94398	0.85315
254455370.00000	162.00000	-37.74022	-23.97500	15.67541	0.87604
254455388.00000	163.00000	-37.73029	-23.93034	15.68302	0.87604
254455406.00000	164.00000	-37.65090	-23.86583	15.68241	0.90046
254455424.00000	165.00000	-37.53428	-23.79140	15.67784	0.90046
254455452.00000	166.00000	-37.42760	-23.68223	15.96834	0.89741
254455479.00000	167.00000	-37.22414	-23.54825	15.97748	0.90199
254455500.00000	168.00000	-37.04550	-23.37457	15.99910	0.91572
254455519.00000	169.00000	-36.99588	-23.30262	15.99971	0.91877
254455536.00000	170.00000	-36.84205	-23.18104	16.01189	0.90199
254455553.00000	171.00000	-36.65845	-23.05947	16.02102	0.90351
254455580.00000	172.00000	-36.45252	-22.88083	16.03107	0.83941
254455608.00000	173.00000	-36.28628	-22.76173	15.74544	0.78905
254455626.00000	174.00000	-36.18208	-22.60542	15.75123	0.79057
254455643.00000	175.00000	-36.05306	-22.54092	15.76524	0.75700
254455661.00000	176.00000	-35.91164	-22.44911	16.06000	0.76310
254455689.00000	177.00000	-35.68337	-22.33002	15.76980	0.72952
254455716.00000	178.00000	-35.51218	-22.14394	16.08010	0.74631
254455735.00000	179.00000	-35.29632	-22.00748	16.09319	0.74326
254455753.00000	180.00000	-35.11024	-21.82635	16.09898	0.74479
254455771.00000	181.00000	-34.95144	-21.69237	15.81579	0.72952
254455788.00000	182.00000	-34.80754	-21.64523	15.81974	0.72952
254455815.00000	183.00000	-34.57431	-21.46163	16.13491	0.74936
254455843.00000	184.00000	-34.32124	-21.26314	15.83862	0.76463
254455871.00000	185.00000	-34.10290	-21.10435	15.85202	0.76310
254455889.00000	186.00000	-33.98877	-21.02495	15.86207	0.76463
254455906.00000	187.00000	-33.95404	-20.95548	15.85842	0.73868
254455923.00000	188.00000	-33.88953	-20.94308	15.85263	0.73716
254455940.00000	189.00000	-33.82502	-20.91330	16.16749	0.74479
254455968.00000	190.00000	-33.77540	-20.88353	15.85507	0.76463
254455996.00000	191.00000	-33.76795	-20.87609	16.17723	0.78752
254456024.00000	192.00000	-33.73818	-20.84631	15.86298	0.78294
254456043.00000	193.00000	-33.66375	-20.80414	15.85933	0.78142
254456061.00000	194.00000	-33.60420	-20.74459	16.16901	0.78752
254456079.00000	195.00000	-33.60420	-20.76692	16.16962	0.81194
254456098.00000	196.00000	-33.53225	-20.71482	16.18058	0.83941
254456116.00000	197.00000	-33.47518	-20.62301	16.18058	0.84094
254456145.00000	198.00000	-33.33624	-20.58084	15.87395	0.86383
254456173.00000	199.00000	-33.25684	-20.52625	16.18211	0.88672
254456190.00000	200.00000	-33.15512	-20.42949	15.87577	0.88672
254456207.00000	201.00000	-33.13775	-20.43693	15.87242	0.88520
254456224.00000	202.00000	-33.00873	-20.37242	15.87273	0.88825
254456252.00000	203.00000	-32.90949	-20.28806	16.19977	0.88825
254456279.00000	204.00000	-32.73581	-20.18882	16.19764	0.87757
254456307.00000	205.00000	-32.58942	-20.05980	15.88917	0.87451
254456324.00000	206.00000	-32.46289	-19.96552	15.89831	0.87451
254456342.00000	207.00000	-32.39094	-19.89357	15.90257	0.88825
254456359.00000	208.00000	-32.30906	-19.87868	16.21956	0.89130
254456376.00000	209.00000	-32.22222	-19.78440	16.22443	0.85925
254456403.00000	210.00000	-32.03117	-19.69508	15.89861	0.85620
254456430.00000	211.00000	-31.84013	-19.55862	15.90348	0.85620
254456458.00000	212.00000	-31.64908	-19.43208	16.23692	0.88520
254456475.00000	213.00000	-31.51510	-19.30802	16.25397	0.89741
254456492.00000	214.00000	-31.39105	-19.24848	16.25702	0.89283
254456509.00000	215.00000	-31.24714	-19.17653	15.94033	0.86230
